Time,Temperature,Humidity,Pressure,VOC,PM1.0,PM2.5,PM10
2022-09-20 13:14:48.684700,69.314,43.552734375,0.8962675795706884,60,,,
2022-09-20 13:14:57.943114,69.314,44.95703125,0.8962988064396743,57,,,
2022-09-20 13:15:07.200497,69.332,47.2333984375,0.8962954524426351,54,,,
2022-09-20 13:15:16.583085,69.314,44.390625,0.8962385115963484,52,,,
2022-09-24 13:25:50.208468,69.314,44.333984375,0.8962696999136442,49,,,
2022-09-24 13:25:59.458596,69.29599999999999,44.9677734375,0.8961811852331606,47,,,
2022-09-24 13:26:08.712703,69.29599999999999,47.796875,0.8961811852331606,45,,,
2022-09-24 13:26:17.961816,69.25999999999999,46.279296875,0.8960941355169011,43,,,
2022-09-24 13:26:27.208514,69.278,45.46484375,0.8961849247471009,41,,,
2022-09-24 13:26:36.464657,69.242,47.171875,0.8960973353071798,40,,,
2022-09-24 13:26:45.722238,69.25999999999999,43.4833984375,0.8961253238341969,38,,,
2022-09-24 13:26:54.979794,69.278,41.6591796875,0.8962161130643967,37,,,
2022-09-24 13:27:04.237370,69.314,45.0478515625,0.8962675795706884,36,,,
2022-09-24 13:27:13.494855,69.314,41.7744140625,0.8962363527017024,35,,,
2022-09-24 13:27:22.752609,69.35,42.841796875,0.8962872409326424,35,,,
2022-09-24 13:27:32.010265,69.386,44.4638671875,0.8963719389958056,34,,,
2022-09-24 13:27:41.267844,69.386,41.8466796875,0.896369163274118,34,,,
2022-09-24 13:27:50.525450,69.35,41.244140625,0.8962272545028374,33,,,
2022-09-24 13:27:59.912788,69.35,39.611328125,0.8963184292499383,33,,,
2022-09-24 13:28:09.170408,69.332,41.7080078125,0.8961370820996792,33,,,
2022-09-24 13:28:18.428128,69.332,38.4423828125,0.8961683089686652,32,,,
2022-09-24 13:28:27.685849,69.332,43.9736328125,0.8961370820996792,32,,,
2022-09-24 13:28:36.943695,69.35,36.775390625,0.8962584813718233,32,,,
2022-09-24 13:28:46.201542,69.458,42.0537109375,0.8964378238341969,32,,,
2022-09-24 13:28:55.589125,69.494,40.8203125,0.8965474262891685,32,,,
2022-09-24 13:29:04.847066,69.476,37.904296875,0.8964922588206267,32,,,
2022-09-24 13:29:14.105004,69.476,39.140625,0.8965546354552184,32,,,
2022-09-24 13:29:23.362856,69.476,41.646484375,0.8965546354552184,32,,,
2022-09-24 13:29:32.620707,69.458,38.5615234375,0.8965002390204787,32,,,
2022-09-24 13:29:41.878529,69.422,44.533203125,0.8964174685418209,32,,,
2022-09-24 13:29:51.136314,69.422,41.564453125,0.896386280224525,31,,,
2022-09-24 13:30:00.393879,69.44,36.7109375,0.8965079108068098,31,,,
2022-09-24 13:30:09.650341,69.476,36.3154296875,0.8965234471379225,31,0,0,0
2022-09-24 13:30:15.225015,69.458,36.064453125,0.8965591845546509,31,0,0,0
2022-09-24 13:35:42.146108,69.89,37.60546875,0.8973208888477671,67,1,1,1
2022-09-24 13:35:48.126279,69.926,37.7431640625,0.8973207346410067,64,0,0,0
2022-09-24 13:35:53.555317,69.962,37.5869140625,0.8974359270910437,61,0,0,0
2022-09-24 13:35:58.827850,69.998,36.7705078125,0.8975042792376018,58,0,1,1
2022-09-24 13:36:04.081014,70.05199999999999,36.6708984375,0.8975143412287194,55,0,1,1
2022-09-24 13:36:09.343746,70.088,36.6494140625,0.8976649241302739,53,0,1,1
2022-09-24 13:36:14.704079,70.10600000000001,37.4345703125,0.8976990423760177,50,0,1,1
2022-09-24 13:36:19.957269,70.142,37.12890625,0.897639171601283,48,0,1,1
2022-09-24 13:36:25.246390,70.178,37.1201171875,0.8977857065753763,46,1,1,1
2022-09-24 13:36:30.547978,70.232,36.79296875,0.8977552507401925,44,1,1,1
2022-09-24 13:36:35.913568,70.25,37.4296875,0.8978892178633111,43,1,1,1
2022-09-24 13:36:41.276279,70.286,37.794921875,0.897970561929435,41,1,1,1
2022-09-24 13:36:46.550561,70.304,37.8984375,0.8979994756970145,40,0,1,1
2022-09-24 13:36:51.880250,70.322,37.6376953125,0.8978944994448557,39,0,0,0
2022-09-24 13:36:57.244966,70.358,37.4794921875,0.8979732990994325,38,0,1,1
2022-09-24 13:37:02.607232,70.358,37.5830078125,0.8980551057858377,37,0,1,1
2022-09-24 13:37:07.972545,70.39399999999999,37.833984375,0.8979879487416729,37,0,0,0
2022-09-24 13:37:13.225557,70.412,38.0166015625,0.8980761164569455,36,0,1,1
2022-09-24 13:37:18.571841,70.43,37.82421875,0.8980642039847027,36,0,1,1
2022-09-24 13:37:24.697,70.46600000000001,37.7353515625,0.898077041697508,35,0,0,0
2022-09-24 13:37:30.014089,70.484,38.236328125,0.898193660560079,35,0,0,0
2022-09-24 13:37:35.330499,70.502,38.1689453125,0.898150058598569,35,0,1,1
2022-09-24 13:37:40.616301,70.52,38.4755859375,0.8981550317665926,35,0,1,1
2022-09-24 13:37:45.892276,70.52,38.6806640625,0.898186065877128,35,0,1,1
2022-09-24 13:37:51.165752,70.55600000000001,38.7958984375,0.8981958194547249,35,0,1,1
2022-09-24 13:37:56.448820,70.574,38.80859375,0.898355037934863,34,1,1,1
2022-09-24 13:38:01.722886,70.61,38.423828125,0.8983007957068838,34,0,1,1
2022-09-24 13:38:07.045201,70.592,37.5146484375,0.8982832546878855,34,1,1,1
2022-09-24 13:38:12.321503,70.61,37.7646484375,0.8983007957068838,34,1,1,1
2022-09-24 13:38:18.403069,70.628,38.12890625,0.8982108160621761,34,1,1,1
2022-09-24 13:38:23.680437,70.646,36.80078125,0.89830669411547,34,1,1,1
2022-09-24 13:38:28.937961,70.646,36.82421875,0.898323772514187,34,1,1,1
2022-09-24 13:38:34.186604,70.682,36.3134765625,0.8983120142487047,34,0,0,1
2022-09-24 13:38:40.342246,70.682,35.984375,0.898328128855169,34,0,0,0
2022-09-24 13:38:45.662183,70.7,35.916015625,0.8982208009499136,34,0,0,0
2022-09-24 13:38:51.780561,70.718,37.599609375,0.8983939365901801,34,0,1,1
2022-09-24 13:38:57.146369,70.754,38.134765625,0.898349216629657,35,0,1,1
2022-09-24 13:39:02.468558,70.754,38.544921875,0.8984273994571922,36,1,1,1
2022-09-24 13:39:07.746446,70.79,38.705078125,0.8985368091537133,38,1,1,1
2022-09-24 13:39:13.066744,70.79,38.580078125,0.8984590118430792,42,0,1,1
2022-09-24 13:39:18.433016,70.826,37.3544921875,0.8985984533061929,46,1,1,1
2022-09-24 13:39:23.706384,70.826,35.478515625,0.8985209644090797,50,1,1,1
2022-09-24 13:39:28.986112,70.826,36.0927734375,0.8984744710708118,52,1,1,3
2022-09-24 13:39:34.262572,70.862,36.1162109375,0.8985044642857143,53,0,1,2
2022-09-24 13:39:39.515783,70.862,36.08203125,0.8985664554034049,54,0,1,2
2022-09-24 13:39:44.780808,70.88,36.7197265625,0.8985492613496175,55,0,2,3
2022-09-24 13:39:50.034137,70.88,36.890625,0.8985342261904762,55,0,1,4
2022-09-24 13:39:55.291,70.898,36.880859375,0.8985165695164076,55,0,1,2
2022-09-24 13:40:00.547212,70.934,36.7900390625,0.8984672233530718,56,0,1,2
2022-09-24 13:40:05.893216,70.952,37.0654296875,0.8985720839501604,56,0,1,3
2022-09-24 13:40:11.169348,70.934,36.8369140625,0.8985122131754256,56,0,0,2
2022-09-24 13:40:16.447640,70.97,36.3935546875,0.8985858469035283,56,0,1,2
2022-09-24 13:40:21.726469,70.97,36.314453125,0.8985858469035283,56,0,1,4
2022-09-24 13:40:27.001652,70.97,35.3701171875,0.8985548898963731,56,0,1,4
2022-09-24 13:40:32.322304,70.988,36.064453125,0.8985523069331359,56,0,1,4
2022-09-24 13:40:37.690089,70.988,35.90625,0.8985968341352085,55,0,1,2
2022-09-24 13:40:43.055416,70.988,35.64453125,0.898534881569208,55,0,1,2
2022-09-24 13:40:48.308322,71.006,35.1220703125,0.8984869618184061,54,0,1,1
2022-09-24 13:40:53.561417,71.006,35.54296875,0.8985179188255613,53,0,0,0
2022-09-24 13:40:58.886572,71.006,34.62109375,0.8985932488280286,53,0,0,0
2022-09-24 13:41:04.166842,70.988,34.8369140625,0.8985658385763632,52,0,0,0
2022-09-24 13:41:09.489309,71.006,34.7353515625,0.8985179188255613,52,0,0,0
2022-09-24 13:41:14.809354,71.024,35.3720703125,0.8985761318776215,51,0,0,0
2022-09-24 13:41:20.086597,71.006,34.109375,0.8985488758327165,51,0,1,1
2022-09-24 13:41:25.342901,71.042,34.3037109375,0.8986030795090056,50,0,1,1
2022-09-24 13:41:30.644447,71.042,34.4296875,0.8985411654946953,49,0,0,0
2022-09-24 13:41:35.900650,71.06,34.4638671875,0.8985682673328399,49,0,1,1
2022-09-24 13:41:41.155437,71.06,34.259765625,0.8986121777078707,49,0,1,1
2022-09-24 13:41:46.409513,71.06,34.646484375,0.8986121777078707,48,0,2,2
2022-09-24 13:41:51.755568,71.078,34.4423828125,0.8986255551443375,48,0,2,2
2022-09-24 13:41:57.008592,71.096,34.88671875,0.8986210831482853,49,1,2,2
2022-09-24 13:42:03.108572,71.078,34.568359375,0.8986393566493955,49,1,1,1
2022-09-24 13:42:08.390918,71.096,34.76171875,0.8986829971625956,50,0,1,1
2022-09-24 13:42:13.644019,71.078,34.5107421875,0.8985636411300272,52,0,1,1
2022-09-24 13:42:18.942475,71.096,34.693359375,0.8986032337157661,53,0,0,0
2022-09-24 13:42:24.198676,71.114,34.921875,0.898677715581051,55,0,2,2
2022-09-24 13:42:29.459964,71.096,34.3857421875,0.8986520401554404,57,0,1,1
2022-09-24 13:42:34.712947,71.114,34.4208984375,0.8986467585738959,60,0,1,1
2022-09-24 13:42:39.973205,71.114,34.2275390625,0.8985977979274612,62,0,1,1
2022-09-24 13:42:45.226304,71.132,34.0234375,0.8986107127436467,64,0,0,0
2022-09-24 13:42:50.530905,71.132,34.205078125,0.8986107127436467,67,0,0,0
2022-09-24 13:42:55.786305,71.132,34.490234375,0.8985487987293362,69,0,0,0
2022-09-24 13:43:01.084372,71.168,34.45703125,0.8985986075129534,72,0,1,1
2022-09-24 13:43:06.448794,71.15,34.3876953125,0.898511981865285,75,1,1,1
2022-09-24 13:43:11.772352,71.168,34.45703125,0.8985986075129534,78,1,1,1
2022-09-24 13:43:17.044900,71.168,34.4228515625,0.8985986075129534,80,0,1,1
2022-09-24 13:43:22.409347,71.168,33.921875,0.8985676890574883,82,0,0,0
2022-09-24 13:43:28.600814,71.168,34.3544921875,0.8986605215272637,83,0,0,1
2022-09-24 13:43:33.882264,71.186,34.798828125,0.8985925934492969,85,0,0,2
2022-09-24 13:43:39.203817,71.186,34.162109375,0.8986235119047619,86,0,0,1
2022-09-24 13:43:44.566342,71.168,33.2392578125,0.8986110982605477,88,0,1,2
2022-09-24 13:43:49.819160,71.168,32.9091796875,0.8986730122748582,88,0,1,3
2022-09-24 13:43:55.077551,71.168,33.5244140625,0.8986420552677029,88,1,1,1
2022-09-24 13:44:00.333813,71.186,33.2509765625,0.8986544689119171,88,0,1,1
2022-09-24 13:44:05.590426,71.20400000000001,33.96875,0.8986786022699235,88,1,2,2
2022-09-24 13:44:10.846202,71.20400000000001,33.9921875,0.898752197446336,88,1,2,2
2022-09-24 13:44:16.116375,71.222,34.232421875,0.898702388662719,89,1,2,2
2022-09-24 13:44:21.498677,71.222,34.357421875,0.898702388662719,89,0,1,1
2022-09-24 13:44:27.466971,71.24000000000001,34.2548828125,0.8987568236491488,89,0,1,1
2022-09-24 13:44:32.746357,71.258,34.34765625,0.8986567049099432,90,0,1,1
2022-09-24 13:44:38.117072,71.258,34.484375,0.8987185803725636,90,0,0,1
2022-09-24 13:44:43.394512,71.276,34.712890625,0.8987414415247964,90,0,0,2
2022-09-24 13:44:48.718070,71.276,34.5185546875,0.8987529684801382,91,0,0,1
2022-09-24 13:44:53.974006,71.276,34.416015625,0.8986795660621761,91,0,0,1
2022-09-24 13:44:59.232427,71.294,35.0322265625,0.8987330758080434,91,0,0,1
2022-09-24 13:45:04.552502,71.294,34.3037109375,0.8986825730940045,92,0,0,0
2022-09-24 13:45:09.832360,71.294,34.66796875,0.8987021573525783,92,0,0,0
2022-09-24 13:45:15.106527,71.294,34.3037109375,0.8987021573525783,93,0,0,1
2022-09-24 13:45:20.432783,71.294,34.041015625,0.8987330758080434,93,0,1,2
2022-09-24 13:45:25.685559,71.276,33.369140625,0.8987220500246731,92,0,1,2
2022-09-24 13:45:30.943911,71.294,33.244140625,0.8987639942635085,92,0,1,2
2022-09-24 13:45:36.221569,71.276,33.3232421875,0.8986795660621761,90,0,0,1
2022-09-24 13:45:42.252790,71.294,33.232421875,0.8986712003454231,89,0,0,0
2022-09-24 13:45:47.578998,71.276,33.083984375,0.8987723599802615,88,0,0,0
2022-09-24 13:45:52.899195,71.276,33.0732421875,0.8988148439427585,86,0,0,0
2022-09-24 13:45:58.154756,71.258,33.1064453125,0.8986988804589193,85,0,1,1
2022-09-24 13:46:03.411539,71.294,33.6201171875,0.8988258697261288,83,0,0,0
2022-09-24 13:46:09.600548,71.312,33.7001953125,0.8987356202195904,81,0,0,0
2022-09-24 13:46:14.857471,71.33,33.8603515625,0.8988085985689612,80,0,0,0
2022-09-24 13:46:20.909997,71.348,33.849609375,0.8987683506044905,79,0,0,0
2022-09-24 13:46:26.987178,71.348,34.08984375,0.8987483422773255,79,0,1,1
2022-09-24 13:46:32.264483,71.348,34.384765625,0.8987374321490255,78,0,0,0
2022-09-24 13:46:37.521642,71.366,34.408203125,0.8987896696891192,78,1,2,2
2022-09-24 13:46:42.826356,71.366,34.306640625,0.8987076702442635,78,0,1,1
2022-09-24 13:46:48.080066,71.402,34.638671875,0.8987699312237849,79,0,1,1
2022-09-24 13:46:54.207962,71.402,34.7978515625,0.8987081328645448,80,0,1,1
2022-09-24 13:46:59.573250,71.402,34.55859375,0.8987081328645448,81,0,2,3
2022-09-24 13:47:04.826329,71.42,34.73046875,0.8987387814581791,82,1,2,3
2022-09-24 13:47:10.923220,71.438,34.7080078125,0.8987485735874661,83,0,1,3
2022-09-24 13:47:16.176409,71.438,34.947265625,0.8987586741302739,84,0,2,5
2022-09-24 13:47:21.432979,71.456,35.2998046875,0.8987068992104614,85,0,2,5
2022-09-24 13:47:26.686013,71.456,35.55078125,0.8987996160251666,87,1,2,4
2022-09-24 13:47:31.939143,71.474,35.484375,0.898797958302492,88,1,2,4
2022-09-24 13:47:37.937468,71.474,35.34765625,0.898726367813965,90,0,1,2
2022-09-24 13:47:43.190175,71.456,35.505859375,0.8987782583888477,91,1,2,2
2022-09-24 13:47:48.453734,71.474,35.6318359375,0.898788166173205,92,1,2,2
2022-09-24 13:47:53.776587,71.492,35.4736328125,0.8988072878114977,92,0,1,1
